Wines,Price,Category,Grapes 1,Grapes 2,Grapes 3,Grapes 4,Region 1,Region 2,Region 3,Region 4,Alcohol,Food Pairing,Notes,Link
"Peter Zemmer - Muller Thurgau Alto Adige ""Caprile"" DOC 2023",59,"White, Dry, Still",100% M¸ller Thurgau,,,,"Alto Adige, Italy, Italy",,,,12.50%,"This wine is wonderful on its own as an aperitif or paired with light salads and vegetable antipasti, light appetizers, fish dishes and asparagus","Bright straw-yellow with greenish shimmer Intense bouquet of white peach, minerals, lemon and white flowers, with delicate spicy tones and impressions of nutmeg The taste is fresh, vibrant and aromatic, with dominant flavors of peach and lemon and a long pleasant mineral finish",https://www.winelistasia.com/store/p117/Peter_Zemmer_-_Muller_Thurgau_Alto_Adige_%22Caprile%22_DOC_2023.html
"Peter Zemmer - Pinot Bianco Alto Adige ""Punggl"" DOC 2023",62,"White, Dry, Still",100% Pinot Bianco,,,,"Alto Adige, Italy, Italy",,,,13.50%,"This wine is wonderful on its own as an aperitif or paired with light salads and vegetable antipasti, light appetizers, fish dishes and asparagus","Radiant straw-yellow with a greenish tone The wine offers aromas of white flowers, lemon-lime citrus, and hints of green apples and pears Intense, very persistent, and pleasantly fruity with a distinct hint of melon. Its taste is dry, velvety and very persistent Awards: 2012 - Wine Enthusiast Magazine: 88 points2013 - Decanter: Bronze2014 - Wine Enthusiast Magazine: 88 points",https://www.winelistasia.com/store/p118/Peter_Zemmer_-_Pinot_Bianco_Alto_Adige_%22Punggl%22_DOC_2023.html
"Peter Zemmer - Riesling ""Rohacker"" DOC 2023",66,"White, Dry, Still",100% Rhine Riesling,,,,"Rhine Valley, Germany",,,,13.50%,"Fish dishes, vegetables, and the whole range of appetizers","Greenish-yellow to bright yellow Softly flowery with scents of fresh peaches Elegant, dry, tempting, with a delicate and enticing acidity and a lively fullness Awards: 2011 - Wine Enthusiast Magazine: 86 points2012 - Wine Enthusiast Magazine: 87 points2012 - Wine & Spirit Magazine: 86 points2015 - Wine Spectator: 90 points",https://www.winelistasia.com/store/p121/Peter_Zemmer_-_Riesling_%22Rohacker%22_DOC_2023.html
Peter Zemmer - Gewurztramminer Alto Adige DOC 2024,68,"White, Dry, Still",100% Gew¸rztraminer,,,,"Tramin (Alto Adige, Italy), Italy",,,,13.50%,"Crab, lobster, other shellfish, p‚tÈs, and as an aperitif","Intensively radiant straw yellow to golden yellow Spicy tones, with hints of sweet muscat and the scent of dried flowers, cloves, and rose petals On the palate, juicy tropical flavors of lychee and starfruits complement a delicately floral finish",https://www.winelistasia.com/store/p122/Peter_Zemmer_-_Gewurztramminer_Alto_Adige_DOC_2024.html
"Cantina di Trento - Nosiola Trentino ""1339"" DOC 2016",51,"White, Dry, Still",100% Nosiola,,,,"Trentino, Italy, Italy",,,,12.50%,"Appetizers and fresh water fish, Serving temperature 10-12∞ C",Straw yellow in colour On the nose the typical hazelnut note Crispy and spicy with a light bitter note on the finish,https://www.winelistasia.com/store/p124/Cantina_di_Trento_-_Nosiola_Trentino_%221339%22_DOC_2016.html
"Antichi Poderi Jerzu - Vermentino di Sardegna ""Telave"" DOC 2023",45,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,13.00%,The wineís lemony acidity will accent rock lobster or squid but carries enough weight to work with spaghetti topped with bottarga or a bowl of brothy clams and fregola,"Straw yellow with green tinges Costamolino hints at aromas of pine and mint coupled with ripe stone fruit and sweet citrus Apricot and apple flavors, this only hints at the lemony minerality and delicate flavors",https://www.winelistasia.com/store/p216/Antichi_Poderi_Jerzu_-_Vermentino_di_Sardegna_%22Telave%22_DOC_2023.html
"Montalbano - Pinot Grigio ""Friuli Grave"" Organic DOC 2021",49,"White, Dry, Still",100% Pinot Grigio,,,,"Alsace/Burgundy, France",,,,12%,"Pair with poultry, fish, pasta in light sauces and soft cheeses","Pale straw in colour Intense, harmonious and complex with noticeable citrus, apricot, linden and white flowers scents Full, intense and of great balance. In its complexity you can appreciate scents of cherry, apple and mango",https://www.winelistasia.com/store/p240/Montalbano_-_Pinot_Grigio_%22Friuli_Grave%22_Organic_DOC_2021.html
"Montalbano - Sauvignon ""Venezia Giulia"" Organic IGT 2018",48,"White, Dry, Still",100% Sauvignon Blanc,,,,"Loire Valley/Bordeaux, France",,,,12.50%,"Will pair well with vegetable soups, especially cream-based soups, souffles and dishes with eggs and asparagus. Also excellent with salami","Straw-yellow colour with greenish reflections Peach flesh, tropical fruit, passion fruit, grapefruit and sweet osmanthus flowers can be perceived Aromatic wines with fresh flavors of peach blossom and citrus fruits",https://www.winelistasia.com/store/p241/Montalbano_-_Sauvignon_%22Venezia_Giulia%22_Organic_IGT_2018.html
"Montalbano - Bianco V. Giulia ""Perennio"" Organic & Sulfates Free IGT 2015",49,"White, Dry, Still",60% Chardonnay,30 Sauvignon,10% Others,,"Burgundy, France",,,,12.50%,"Clams, shrimps, lobster and all fish recipes. Raw ham, smoked cold cuts and vegetarian food. Fantastic with white asparagus",Straw yellow in colour Fresh bouquet with hints of ripe white fruits On the palate the wine shows an interesting minerality with great balance between acidity and residual sugar,https://www.winelistasia.com/store/p242/Montalbano_-_Bianco_V._Giulia_%22Perennio%22_Organic_%26_Sulfates_Free_IGT_2015.html
"Montalbano - Grillo ""Terre Siciliane"" Organic IGT 2019",39,"White, Dry, Still",100% Grillo,,,,"Sicily, Italy",,,,12.50%,"Goes well with seafood, first course pasta dishes with vegetables, white meats and baked fish. The richness and the aromatic fragrance of the Grillo makes it the ideal wine to pair with a dish such as a veal carpaccio with celery and strawberries","Straw yellow with golden hues Intense and persistent bouquet with aromas of fruit, white citrus blossoms and almond Delivers fresh peach and citrus aromas backed by a touch of bitter almond. The texture is thick and creamy",https://www.winelistasia.com/store/p244/Montalbano_-_Grillo_%22Terre_Siciliane%22_Organic_IGT_2019.html
"Eugenio Collavini - Ribolla Gialla ""Benedete"" IGT 2023",58,"White, Dry, Still",100% Ribolla Gialla,,,,"Friuli - Venezia Giulia, Italy",,,,12.50%,A classic aperitif that can also accompany fish-based starters or shellfish,"Star-bright straw frames a fresh Fruit-driven nose lifted by citrus notes of lemon verbena and grapefruit The clean, tangy palate tempts with nicely gauged butteriness and a long-lingering finish",https://www.winelistasia.com/store/p264/Eugenio_Collavini_-_Ribolla_Gialla_%22Benedete%22_IGT_2023.html
"Eugenio Collavini - Ribolla Gialla ""Turian"" DOC 2020",95,"White, Dry, Still",100% Ribolla Gialla,,,,"Friuli - Venezia Giulia, Italy",,,,12.50%,"As an aperitif or with starters, soups and stewed fish, mollusks, especially warty venus shells","Star-bright straw yellow with pale green highlights Subtly elegant, fruit-led aromatics laced with floral essences of acacia blossom and lemon verbena Fresh lemon savouriness perks up the elegant palate Awards: 2016 - Luca Gardini: 86 points2014 - Wine Enthusiast: 89 points2014 - Gilbert & Galard: 86 points2013 - Wine Enthusiast: 88 points",https://www.winelistasia.com/store/p265/Eugenio_Collavini_-_Ribolla_Gialla_%22Turian%22_DOC_2020.html
Eugenio Collavini - Ribolla Gialla Brut Millesime' 2018,120,"White, Dry, Sparkling",100% Ribolla Gialla,,,,"Friuli - Venezia Giulia, Italy",,,,12.50%,"As an aperitif or with starters, soups and stewed fish, mollusks, especially warty venus shells","Star-bright straw yellow with pale green highlights Subtly elegant, fruit-led aromatics laced with floral essences of acacia blossom and lemon verbena Fresh lemon savouriness perks up the elegant palate Awards: 2016 - Luca Gardini: 86 points2014 - Wine Enthusiast: 89 points2014 - Gilbert & Galard: 86 points2013 - Wine Enthusiast: 88 points",https://www.winelistasia.com/store/p266/Eugenio_Collavini_-_Ribolla_Gialla_Brut_Millesime%27___2018.html
"Eugenio Collavini - Sauvignon Blanc ""Fumat"" DOC 2023",63,"White, Dry, Still",100% Sauvignon Blanc,,,,"Loire Valley/Bordeaux, France",,,,12.50%,"Fish-based starters, fish served in sauce and especially crustaceans, whether boiled or grilled. Risottos and herb soups","Pale straw yellow with greenish highlights Very varietal and minerally, but not cloying, with hints of yellow peppers, sage and melon The palate is fresh-tasting, full-bodied, confidently aromatic and long Awards: 2015 - James Suckling: 92 points2014 - Gambero Rosso: 2 glasses2014 - James Suckling: 88 points2012- James Suckling: 90 points",https://www.winelistasia.com/store/p267/Eugenio_Collavini_-_Sauvignon_Blanc_%22Fumat%22_DOC_2023.html
"Eugenio Collavini - Spumante ""Il Grigio"" NV",54,"White, Dry, Sparkling",80% Chardonnay,20% Pinot Grigio,,,"Burgundy, France","Alsace/Burgundy, France",,,11.50%,A classic aperitif that can also partner fish or cold cuts and is outstanding with vegetable veloutÈs as well as oven-baked fish of all kinds,"Pale, star-bright straw shot through with greenish highlights. Persistent mousse with steady streams of tiny bubbles Fresh, fragrant golden delicious apples, pears and warm crusty bread usher in a harmoniously rounded Faintly aromatic palate with a hint of citrus and very long length Awards: 2015 - James Suckling: 87 points",https://www.winelistasia.com/store/p269/Eugenio_Collavini_-_Spumante_%22Il_Grigio%22__NV.html
"Ca' Maiol - Lugana ""Prestige"" DOC 2021",66,"White, Dry, Still",100% Trebbiano di Lugana,,,,"Tuscany/Emilia - Romagna, Italy",,,,12.50%,"Appetizers, raw fish and seafood, which can also be as a condiment in a plate of pasta or risotto; slightly fatty boiled fish","Straw yellow with golden reflections Clean with a clear identity, this offers perfumes of green apple, lime, and wild thyme. On opening releases aromas of oats and white pepper Pleasant and soft on the palate, in perfect equilibrium with all its components, with a mineral finish",https://www.winelistasia.com/store/p273/Ca%27_Maiol_-_Lugana_%22Prestige%22_DOC_2021.html
Baglio di Pianetto - Insolia ORGANIC DOC 2020,49,"White, Dry, Still",100% Insolia,,,,"Sicily, Italy",,,,13.00%,Perfect with starters such as marbled cheeses and with oily fish,"Straw yellow with slightly green highlights Floral notes of orange blossom and green apple Fresh, sapid and mineral",https://www.winelistasia.com/store/p284/Baglio_di_Pianetto_-_Insolia_ORGANIC__DOC_2020.html
"Romanelli - Trebbiano Spoletino ""Le Tese"" IGT 2021 (Orange Wine)",88,"White, Dry, Still",100% Trebbiano Spoletino,,,,"Tuscany/Emilia - Romagna, Italy",,,,12.50%,"Cheeses, egg dishes and, more generally, vegetarian appetizers. Exciting with the black truffle","Golden yellow, typical color of wines produced with long maceration Reach, yellow citrus, exotic fruits and yellow pulp with a slight hint of minerality Large, dense, complex supported at the same time by a fresh acidity. Excellent persistence",https://www.winelistasia.com/store/p292/Romanelli_-_Trebbiano_Spoletino_%22Le_Tese%22_IGT_2021_%28Orange_Wine%29.html
Romanelli - Grechetto Colli Martorani DOC 2022,62,"White, Dry, Still",100% Grechetto,,,,"Umbria, Italy",,,,15.00%,"Seafood starters and first courses. Soups with dried pulses and cereals, grilled fish and white meats, fresh cheeses and spicy salamis","Deep straw yellow in colour with gold hues An intense, fruity and floral bouquet with notes of peach, almond and hawthorn blossoms In the mouth a crisp attack balanced by alcohol, good body, intense flavors, a pleasing roundness",https://www.winelistasia.com/store/p295/Romanelli_-_Grechetto_Colli_Martorani__DOC_2022.html
"ColleMassari - Vermentino ""Irisse"" DOC 2016",84,"White, Dry, Still",85% Vermentino,15% Grechetto,,,"Sardinia/Liguria/Tuscany, Italy","Umbria, Italy",,,13.50%,"Fish dishes, vegetarian dishes, poultry, light meat, scallops","Obvious gold-yellow This elegant white wine has a buttery and full flavour Hints of honey, juicy pears and some melon can be discerned, as well as notes of wild herbs and white blossoms. A wine with excellent storage potential and great elegance",https://www.winelistasia.com/store/p296/ColleMassari_-_Vermentino_%22Irisse%22_DOC_2016.html
"Ferro 13 - Pinot Grigio ""The Lady"" DOC 2023",55,"White, Dry, Still",100% Pinot Grigio,,,,"Alsace/Burgundy, France",,,,12.50%,"Different starters, tureens and terrines, fish, shellfish and crustaceans, white meat and poultry","Straw-yellow with a greenish tone Flowery aroma with typical tones of ripe fruit, pear, melon Fruity mineral flavor, full-bodied with fresh acidity",https://www.winelistasia.com/store/p301/Ferro_13_-_Pinot_Grigio_%22The_Lady%22_DOC_2023.html
"Ci˘ Ci˘ - Falerio ""Oris"" ORGANIC DOP 2023",45,"White, Dry, Still",Trebbiano,Passerina,Pecorino,,"Tuscany/Emilia - Romagna, Italy",,"Marche/Abruzzo, Italy",,13.00%,"White fish, shellfish, crab, lobster","Bright straw yellow, whit green shades Sweet with a fruit and white flowers perfume Fruity and harmonious, fresh and slightly bitter",https://www.winelistasia.com/store/p302/Ci%C3%B9_Ci%C3%B9_-_Falerio_%22Oris%22_ORGANIC_DOP_2023.html
"Ci˘ Ci˘ - Passerina ""Evoe"" ORGANIC IGT 2020",52,"White, Dry, Still",100% Passerina,,,,"Marche, Italy",,,,13.00%,"Pasta salad with zucchini, lemon and pecorino cheese, oysters with fresh lemon, green olives","Straw yellow colour and light, golden shades Pleasant fruity and white flower ‚Äôs scent Good taste to the palate, with a wide range of perceptions and final aromatic tasting persistence",https://www.winelistasia.com/store/p305/Ci%C3%B9_Ci%C3%B9_-_Passerina_%22Evoe%22_ORGANIC_IGT_2020.html
"Ci˘ Ci˘ - Verdicchio dei Castelli di Jesi ""Arbinus "" ORGANIC DOC 2020",52,"White, Dry, Still",100% Verdicchio,,,,"Marche, Italy",,,,13.00%,"Prawn and sweet potato fritters, broad-bean salad with peanut dressing, roasted flounder with lemon butter",Colour straw yellow Pleasant flowers perfume and exotic fruits scent Full-bodied with an important structure,https://www.winelistasia.com/store/p311/Ci%C3%B9_Ci%C3%B9_-_Verdicchio_dei_Castelli_di_Jesi_%22Arbinus_%22_ORGANIC_DOC_2020.html
"Ci˘ Ci˘ - Malvasia ""Da Dolce"" IGT NV",49,"White, Sweet, Sparkling",100% Malvasia di Candia,,,,"Emilia - Romagna, Italy",,,,10.00%,"It pairs perfectly with dry pastries and bakery products (panettone, colomba)","Full straw yellow colour tending towards golden, , with finely grained and persistent bubbles On the nose it releases an intense fragrance typical of the Malvasia di Candia grape variety: aromas of apricot, yellow peach, candied citrus as well as floral and herbal notes such as sage In the mouth it is sweet but at the same time fresh and well-balanced",https://www.winelistasia.com/store/p318/Ci%C3%B9_Ci%C3%B9_-_Malvasia_%22Da_Dolce%22_IGT_NV.html
"Lvnae Bosoni - Vermentino Colli di Luni ""Cavagino"" DOC 2017",126,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,14.50%,"Its remarkable structure makes it suitable to accompany even the most substantial dishes of the Ligurian tradition, such as Coniglio alla Ligure (rabbit), chicken cacciatore, stockfish","Very intense straw-yellow colour becoming golden, with great vitality. The nose is rewarded with notable complexity with aromas ranging from balsamic to wood resins. Hints of mature fruit, Golden apple, Williams pear, Papaya, becoming honey, wet stone, Mediterranean scrub and spices. Full and strong on the palate with great structure and warm, soft notes and a balance arising from the marked minerality, which bestows taste and drinkability. The persistence of the aromas is extraordinary.",https://www.winelistasia.com/store/p322/Lvnae_Bosoni_-_Vermentino_Colli_di_Luni_%22Cavagino%22_DOC_2017.html
"Grosjean Freres - Petite Arvine ""Vigna Rovettaz"" ORGANIC DOC 2022",115,"White, Dry, Still",100% Petite Arvine,,,,"Valle d'Aosta, Italy",,,,13.00%,"It makes a good accompaniment to starters, white meats and fish","Bright straw-yellow colour Intense bouquet, floral notes and citrus sensations, especially of pink grapefruit. Good sapidity and well balanced acid structure ensure long-term ageing Awards: 2014 - Wine Spectator: 90 points2015 - DEC: 88 points",https://www.winelistasia.com/store/p335/Grosjean_Freres_-_Petite_Arvine_%22Vigna_Rovettaz%22_ORGANIC_DOC_2022.html
"Peter Zemmer - Pinot Grigio Riserva ""Giatl"" DOC 2018",118,"White, Dry, Still",100% Pinot Grigio,,,,"Alsace/Burgundy, France",,,,14.50%,"Appetizers, fish and vegetable based main courses and white meats","Straw yellow to golden yellow Pleasantly fruity, strong bouquet of ripe fruits, great variety of aromas such us pear, melon and fine woody spice Strong, balanced and salty, interesting acidity in the mouth, very harmoniously juicy and rich with remarkable fullness",https://www.winelistasia.com/store/p338/Peter_Zemmer_-_Pinot_Grigio_Riserva_%22Giatl%22_DOC_2018.html
"Ci˘ Ci˘ - Offida Pecorino ""Merlettaie"" ORGANIC DOCG 2021",57,"White, Dry, Still",100% Pecorino,,,,"Marche/Abruzzo, Italy",,,,14.00%,"Pecorino cheese and walnut bread, steamed white fish with ginger, chicken thighs with roasted red pepper and onion","Deep straw-yellow Very intense and persistent, grassy and hawthorn blossoms aroma, with vanilla perfume Fresh and sapid, agreeable and soft to the palate",https://www.winelistasia.com/store/p367/Ci%C3%B9_Ci%C3%B9_-_Offida_Pecorino_%22Merlettaie%22_ORGANIC_DOCG_2021.html
Champagne Mangin et Fils - Champagne Brut AOP NV,95,"White, Dry, Sparkling",100% Pinot Meunier,,,,"Champagne, France",,,,12.00%,To be enjoyed for pre-meal drinks or throughout meals as an accompaniment to poultry with dried fruit,"Pale golden color The nose first develops aromas of fleshy yellow fruit (peach, apricot) . After a few minutes, the nose develops to aromas of dried fruit (hazelnut) and honey Round and tasty on the palate combined with freshness and acidity, reminiscence of French pastries Awards: Decanter: 89 Point Decanter: Bronze",https://www.winelistasia.com/store/p375/Champagne_Mangin_et_Fils_-_Champagne_Brut__AOP_NV.html
Champagne Mangin et Fils - Champagne Brut Millesime' AOP 2015,116,"White, Dry, Sparkling",100% Pinot Meunier,,,,"Champagne, France",,,,12.00%,To be accompanied with grilled fish and seafood,"Almond green The nose is acidulous with fresh citrus aromas (grapefruit, candied lemon) combined with dried blossom aromas (verbena) Fresh and delicate and the aromas of fresh citrus and dried blossom linger harmoniously Awards: Decanter: 89 Point Decanter: Bronze",https://www.winelistasia.com/store/p376/Champagne_Mangin_et_Fils_-_Champagne_Brut_Millesime%27__AOP_2015.html
Champagne Mangin et Fils - Champagne Brut Nature AOP NV,98,"White, Dry, Sparkling",100% Pinot Meunier,,,,"Champagne, France",,,,12.00%,To be accompanied with grilled fish and seafood,"Light yellow with a gold glint Savory first nose, with aromas of young fruits like quinces. Then it grows quickly into a very fresh note of grapefruit Beautiful and vivid white flower flavor which offers rapidly an acidulous note Awards: Decanter: 89 Point Decanter: Bronze",https://www.winelistasia.com/store/p377/Champagne_Mangin_et_Fils_-_Champagne_Brut_Nature_AOP_NV.html
"Torre dei Beati - Pecorino ORGANIC ""Bianchi Grilli"" DOC 2020",69,"White', Dry, Still",100% Pecorino,,,,"Marche/Abruzzo, Italy",,,,14.00%,"Great pairing with stewed salted codfish, the very abruzzese lamb ìcace e oveî, aged cheese","Straw yellow with loads of golden reflections White and yellow flowers, with robinia and broom in evidence, and yellow fruit pulp, with typical varieties of camomile and star anise Typical herbaceous and spicy notes with gentle vanilla oak and a mineral streak",https://www.winelistasia.com/store/p382/Torre_dei_Beati_-_Pecorino_ORGANIC_%22Bianchi_Grilli%22_DOC_2020.html
"Torre dei Beati - Pecorino ORGANIC ""Giocheremo Con I Fiori"" DOC 2022",56,"White', Dry, Still",100% Pecorino,,,,"Marche/Abruzzo, Italy",,,,13.50%,"Creamy and fat dishes, like risotto, gnocchi with cheese sauce, Adriatic see fried fish, medium-aged pecorino cheese","Straw yellow with light gold shades Citrus and white flowers, rounded by honey hints but vibrant of the typical herbs flavors of the variety (sage, rosemary, lavender) Zesty acidity and minerality move up the tasting balance giving a long, mouthwatering persistence",https://www.winelistasia.com/store/p383/Torre_dei_Beati_-_Pecorino_ORGANIC_%22Giocheremo_Con_I_Fiori%22_DOC_2022.html
"Torre dei Beati - Trebbiano d""Abruzzo ORGANIC ""Bianchi Grilli"" DOC 2020",66,"White', Dry, Still",100% Trebbiano d'Abruzzo,,,,"Tuscany/Emilia - Romagna, Italy",,,,14.00%,"Fresh cheeses and fish preparations and smooth, soft white meat. Ideal for ravioli of burrata with tomatoes and fondue saffron of Navelli","Straw yellow with light gold shades Citrus and white flowers, rounded by honey hints, sage, rosemary, lavender Zesty acidity and minerality move up the tastingbalance giving a long, mouthwatering persistence",https://www.winelistasia.com/store/p386/Torre_dei_Beati_-_Trebbiano_d%22Abruzzo_ORGANIC_%22Bianchi_Grilli%22_DOC_2020.html
"Villa Franciacorta - Extra Brut ""Blu"" DOCG 2016",110,"White, Dry, Sparkling",Chardonnay Grapes: 85,Pinot Noir 10,Pinot,,"Burgundy, France",,,,12.50%,"Steamed fish, or delicate fish or vegetable based first course dishes. Also excellent as an aperitif","Straw yellow, fine persistent bubbles The nose displays elegant fl oral accents, fresh fruits, and yeasts Fine persistent bubbles caress the palate, exalting the wine‚Äôs alluring softness and elegant structure",https://www.winelistasia.com/store/p388/Villa_Franciacorta_-_Extra_Brut_%22Blu%22_DOCG_2016.html
"Villa Franciacorta - Pas Dose' ""Diamant"" DOCG 2018",104,"White, Dry, Sparkling",85% Chardonnay,15% Pinot Noir,,,"Burgundy, France","Burgundy, France",,,12.50%,"Perfect as aperitif, unsurpassed with oysters","Straw yellow Elegant floral accents, fresh fruits, and yeasts Hazelnuts and white flowers combine with a hint of vanilla and croissant making for an intoxicating pleasure",https://www.winelistasia.com/store/p389/Villa_Franciacorta_-_Pas_Dose%27_%22Diamant%22_DOCG_2018.html
"Villa Franciacorta - Saten ""Mon Saten"" DOCG 2018",97,"Rose', Dry, Sparkling",100% Chardonnay,,,,"Burgundy, France",,,,12.50%,"Suited to steamed fish, or delicate fish or vegetablebased first course dishes. Also excellent as an aperitif","Straw yellow Elegant floral accents, fresh fruits, and yeasts Fine persistent bubbles caress the palate, exalting the wine‚Äôs alluring softness and elegant structure. Pleasant, persistent finish",https://www.winelistasia.com/store/p391/Villa_Franciacorta_-_Saten_%22Mon_Saten%22_DOCG_2018.html
"Les Terrasses De L'Arago - Chardonnay ""de nos Nuits"" IGP 2020",55,"White, Dry, Still",100% Chardonnay,,,,"Burgundy, France",,,,13.00%,"Fresh cheeses and fish preparations and smooth, soft white meat","Straw yellow Beautiful aromatic complexity, with exotic fruits, pear and hazelnut aromas Bold, rich and round, the palate is balanced by a nice freshness Awards: 2019 - Decanter: Bronze2019 - Gilbert & Gaillard: Gold",https://www.winelistasia.com/store/p406/Les_Terrasses_De_L%27Arago_-_Chardonnay_%22de_nos_Nuits%22_IGP_2020.html
"Les Terrasses De L'Arago - Vin Deux Naturel ""Rivesaltes Amber"" VDN 2011",68,"White, Sweet, Still",50% Maccabeu,50% Grenache Blanc,,,"Aragon/Catalonia, Spain","Aragon/Catalonia, Spain",,,16.00%,Perfect accompaniment to an aperitif and sweet dishes,"Amber color Candied apricot, jam, bourbon vanilla Very beautiful acidity, good balance, corinthian grape and dried fruits aromas",https://www.winelistasia.com/store/p409/Les_Terrasses_De_L%27Arago_-_Vin_Deux_Naturel_%22Rivesaltes_Amber%22_VDN_2011.html
"Les Terrasses De L'Arago - White ""ElecciÛ"" AOP 2019",54,"White, Dry, Still",Grenache Blanc,Roussanne,,,"Aragon/Catalonia, Spain",,,,13.50%,"With vegetables, seafood or fish cooked in olive oil","Straw yellow Delicate aromas dominated by floral smells (chamomile) added by the Roussanne Very mineral, the taste is well balanced, well rounded with a long length in the mouth Awards: 2019 - Gilbert & Gaillard: 90 points",https://www.winelistasia.com/store/p411/Les_Terrasses_De_L%27Arago_-_White_%22Elecci%C3%B3%22_AOP_2019.html
"Lvnae Bosoni - Diego Bosoni ""L'Incantatrice"" IGT 2021",77,"White, Dry, Sparkling",Albarola,Vermentino (ancestral Method),,,"Liguria, Italy","Sardinia/Liguria/Tuscany, Italy",,,12.50%,"Ideal aperitf, seafood and finger food","The pale golden yellow is a little hazy due to the presence of yeast Elegant and intense with hints of yellow fruit, mediterranean scrub and subtle marine nuances Sensations perceived on the nose are enhanced by a subtle hint of wild berries, broad and embracing body with long persistence",https://www.winelistasia.com/store/p425/Lvnae_Bosoni_-_Diego_Bosoni_%22L%27Incantatrice%22_IGT_2021.html
"Sartori - Prosecco BRUT ""Love Story"" DOC NV",42,"White, Dry, Sparkling",100% Glera,,,,"Veneto, Italy",,,,11.00%,"Perfect choice as an aperitif or as an ideal match with fish, fresh fruit and pastries","Straw yellow in colour with light-green hues Delicate fruit bouquet, reminiscent of wild apples and acacia flowers The palate is comprised of citrus, orange blossoms and stone fruits. Fresh citrus and floral notes linger on the finish",https://www.winelistasia.com/store/p427/Sartori_-_Prosecco_BRUT_%22Love_Story%22_DOC_NV.html
Albino Rocca - Bianco Piemonte Cortese DOC 2022,74,"White, Dry, Still",100% Cortese,,,,"Piedmont (Gavi), Italy",,,,13.00%,"Fish appetizer, light pasta, fresh cheese, vegetable risotto, white meat","Straw yellow Fragrant and fresh, with aromas of white fruit, citrus fruit, floral scents and minerali memories Balanced, fresh, smooth and with pleasant mineral notes",https://www.winelistasia.com/store/p431/Albino_Rocca_-_Bianco_Piemonte_Cortese_DOC_2022.html
Albino Rocca - Moscato d'Asti DOCG 2020,54,"White, Sweet, Semi-sparkling",100% Moscato,,,,"Piedmont (Asti), Italy",,,,8.50%,Variety of Italian pastries or a fruit dessert like citrus panna cotta with fresh berries,"Pale golden yellow It's light, floral and fresh, honeysuckle, citrus peel and pear Floral, honeysuckle, citrus peel and pear",https://www.winelistasia.com/store/p432/Albino_Rocca_-_Moscato_d%27Asti__DOCG_2020.html
"Capofaro - Malvasia ""Didyme"" IGT 2021",100,"White, Dry, Still",100% Malvasia,,,,Italy,,,,13.00%,"Fish and seafood, with capers, with vegetable preparations with aubergines, capers and tomatoes, such as the classic Caponata Siciliana","Straw-yellow Fresh wild flowers and ginger, vegetable - vegetal, spicy, mineral Silky and enveloping, matched by a pleasant inner sweetness yet still completely fresh and balanced, with ripe orchard fruits and minerals giving way to pretty inner florals Awards: 2018 Falstaff: 92Points2019 Falstaff: 91 Points",https://www.winelistasia.com/store/p439/Capofaro_-_Malvasia_%22Didyme%22_IGT_2021.html
"Capofaro - Malvasia ""Vigna di Paola"" IGT 2021",100,"White, Dry, Still",100% Malvasia,,,,Italy,,,,13.00%,Seefood and vegetarian dishes and apetizers,"Straw-yellow Fresh, with pear, lime, lemon peel, toasted hazelnut Mineralilty and salty notes on the palate with a slight sweet finishing to attenuate the almond flavour",https://www.winelistasia.com/store/p440/Capofaro_-_Malvasia_%22Vigna_di_Paola%22_IGT_2021.html
"Capofaro - Malvasia Dolce ""Salina"" IGT 2021",93,"White, Sweet, Still",100% Malvasia,,,,Italy,,,,11.00%,"Blue cheese, dry pastry, and classic Sicilian pastry as cassata and cannoli","Golden-yellow color tending towards amber Honey, eucalyptus, herbs, dates, ripe apricots honey Sweet flavor, ripe apricot, floral notes in the aftertaste Awards: 2008 Falstaff: 90Points2010 Falstaff: 91 Points2015 Falstaff: 92 Points",https://www.winelistasia.com/store/p441/Capofaro_-_Malvasia_Dolce_%22Salina%22_IGT_2021.html
"Sergio Mottura - Grechetto Civitella ""Latour a Civitella"" IGT 2020",92,"White, Dry, Still",100% Grechetto,,,,"Umbria, Italy",,,,14.50%,"Perfect with roast duck, pappardelle in a wild boar sauce, onion soup, Tuscan ribollita, salt cod ""alla Livornese"", or very spicy food such as Indian curry or gazpacho","Rich gold in color Elegant and complex nose and subtle woody flavours: white fruits, citrus, warm butter and hazelnut Well-rounded, fresh and velvety, with a lingering finish of fruit and vanilla",https://www.winelistasia.com/store/p470/Sergio_Mottura_-_Grechetto_Civitella_%22Latour_a_Civitella%22_IGT_2020.html
"Sergio Mottura - Orvieto ""Secco"" DOC 2021",56,"White, Dry, Still",Procanico 45%,Grechetto 20,Rupeccio 10,,"Tuscany, Italy","Umbria, Italy",,,13.50%,"Delightful as an aperitif or with classic central Italian dishes: lasagne, spaghetti with summer vegetables, asparagus crÍpes, chicken or rabbit with olives, fresh cheeses and all fish","Clear pale yellow with natural golden highlights Fruity fragrant aromas typical of this area, with hints of wild mint and aromatic herbs Dry but rounded with a subtly bitter aftertaste",https://www.winelistasia.com/store/p473/Sergio_Mottura_-_Orvieto_%22Secco%22_DOC_2021.html
