Wines,Price,Category,Grapes 1,Grapes 2,Grapes 3,Grapes 4,Region 1,Region 2,Region 3,Region 4,Alcohol,Food Pairing,Notes,Link
"Cantele - Negroamaro ""Teresa Manara"" IGP 2018",92,"Red, Dry, Still",Negroamaro,,,,Puglia (Salento),,,,14.50%,It matches well with strong foods like game and very mature cheese,"Intense ruby red alternated with delicate cherry tones The fruit and floral notes offer a preview of how this wine will evolve on the palate, with ample aromas of ethereal spices and a light minerality As on the nose, this wine is classic, bold, and confident yet perceptibly refined",https://www.winelistasia.com/store/p487/Cantele_-_Negroamaro_%22Teresa_Manara%22_IGP_2018.html
"Cantele - Primitivo Salento ""Fanoi"" IGP 2019",123,"Red, Dry, Still",100% Primitivo,,,,"Puglia (Puglia), Italy",,,,16.00%,"Pasta and meat sauce, red meats including lamb. Ideal partner for medium to well-seasoned cheese","Intense ruby red with hints of violet Wild and impetuous with notes of sour cherry, cassis, and mint. Bay, cumin, and sage. A touch of rhubarb and delicate smoky note. Iron, vetiver, and Gargano orange Seductive, rich, and smooth. Powerful structure with acidity that balances the wine’s elegant tannic character",https://www.winelistasia.com/store/p489/Cantele_-_Primitivo_Salento_%22Fanoi%22_IGP_2019.html
"Baglio di Pianetto - Rosso Etna ""Fermata 125"" DOC 2019",80,"Red, Dry, Still",100% Nerello Mascalese,,,,"Sicily (Etna), Italy",,,,13.00%,"An ideal partner to grilled meats, couscous, and aged cheeses","Attractive pale ruby colour Delicate scents of red berry, such as wild strawberry, and warm, enfolding spice notes The palate is built upon tangy, rich fruit, fine-grained, glossy tannins, and a lengthy finish",https://www.winelistasia.com/store/p495/Baglio_di_Pianetto_-_Rosso_Etna_%22Fermata_125%22_DOC_2019.html
"Omina Romana - Cabernet Franc ""Ars Magna"" IGT 2017",176,"Red, Dry, Still",100% Cabernet Franc,,,,"Bordeaux/Loire, France",,,,14.00%,"Aged cheeses, robust meat dishes such as braised or stewed lamb, beef or short ribs","Clear, deep garnetelegant, fine matured bouquet, spicy and herbaceous aromas such as allspice, clove, liquorice, bell pepper, dried herbs, fern, bright fruit of cranberry and raspberry, cedar wood and toast Silky texture, powerful body, elegant structure, saltiness, minty lift in the finish, persistent and long aftertaste",https://www.winelistasia.com/store/p501/Omina_Romana_-_Cabernet_Franc_%22Ars_Magna%22_IGT_2017.html
Omina Romana - Cabernet Sauvignon IGT 2015,66,"Red, Dry, Still",100% Cabernet Sauvignon,,,,"Bordeaux, France",,,,13.50%,Flavourful pastas and red meats as well as for cured meats and salami,"Bright ruby red Profound and wild bouquet, intense notes of ripe red fruits, Mediterranean scrub, cinchona bark, rhubarb and fern, which build upon a warm, mineral base Very powerful with an intense, soothing freshness. The lovely, velvety tannin bolsters and intensifies the lasting, warm finish with pronounced volcanic nuances",https://www.winelistasia.com/store/p502/Omina_Romana_-_Cabernet_Sauvignon_IGT_2015.html
"Omina Romana - Cabernet Sauvignon ""Ars Magna"" IGT 2015",165,"Red, Dry, Still",100% Cabernet Sauvignon,,,,"Bordeaux, France",,,,14.50%,Aged cheeses and robust meat dishes,"Deep garnet with black hue Intense and persistent, black and red berry fruit, with notes of chocolate, coffee, liquorice, tobacco and a light spicy note Fine structured tannins with delicate grip in the finish, powerful body, perfect balance between fruit and acidity, persistent and lingering aftertaste",https://www.winelistasia.com/store/p503/Omina_Romana_-_Cabernet_Sauvignon_%22Ars_Magna%22_IGT_2015.html
"Eugenio Collavini - Refosco ""Pucino"" DOC 2020",54,"Red, Dry, Still",100% Refosco dal Peduncolo Rosso,,,,"Friuli - Venezia Giulia, Italy",,,,12.50%,"White meat dishes but also tasty and reach seafood dishes, cold cuts and medium aged cheeses","An intense ruby with marked violet reflections The varietal fruity perception of wild blackberry and raspberry blends with delicate hints of licorice In the mouth it is balanced and caressing, supported by a slightly herbaceous base",https://www.winelistasia.com/store/p534/Eugenio_Collavini_-_Refosco_%22Pucino%22_DOC_2020.html
I Saltari - Valpolicella Superiore DOC 2018,65,"Red, Dry, Still",60% Corvina,10% Corvinone,20% Rondinella,10% Croatina,"Veneto, Italy",,"Veneto, Italy",,13.00%,"Perfect with red meat, game, quails, roasts and full-flavoured dishes. Excellent match for mature cheeses with bite, such as Parmesan or pecorino. Fabulous full-blown after-dinner wine","Ruby red in color with hints of violet Small berries, ranging from currants to blackberry jam, hints of tobacco and leather Excellent structure with supple tannins and fruit flavors consistent with the nose, long finish of vanilla and cherry Awards: 2010 - International Wine Challenge: Silver2010 - Mundus Vini: Gold",https://www.winelistasia.com/store/p538/I_Saltari_-_Valpolicella_Superiore_DOC_2018.html
"Eugenio Collavini - Merlot ""Poncanera"" DOC 2019",54,"Red, Dry, Still",100% Merlot,,,,"Bordeaux, France",,,,12.50%,"Best with roasted, fried and stewed white meats, especially rabbit, poultry, veal and pork. It goes perfectly with a typical Friulian dish: loin of rabbit with aromatic herbs","Here too a ruby red color is striking which differs in slightly garnet nuances The nose is vinous, sometimes herbaceous, with hints of raspberry and wild blackberry Dry, complex and soft, the well-controlled tannins and the decisive aromatic persistence are appreciated on the sip",https://www.winelistasia.com/store/p542/Eugenio_Collavini_-_Merlot_%22Poncanera%22_DOC_2019.html
Eugenio Collavini - Friulano DOC 2021,54,"White, Dry, Still",100% Friulano,,,,"Friuli - Venezia Giulia, Italy",,,,12.50%,"As aperitif, fish dishes, asparagus","Straw yellow color with greenish reflections when young The scent of wildflowers and persistent announces a markedalmond note that distinguishes s typicality On the palate dry, full and full-bodied, well round, and excellent aromatic persistency",https://www.winelistasia.com/store/p543/Eugenio_Collavini_-_Friulano_DOC_2021.html
I Saltari - Valpolicella Superiore Ripasso DOC 2018,92,"Red, Dry, Still",60% Corv,10% Corvinone,20% Rond,10% Croatina,"Veneto, Italy",,,,14.00%,"Robust first courses such as mushroom risotto. Ideal with meat based dishes such as mixed grills, roasts and game. Excellent also with cold cuts and medium matured cheeses","The wine is an intense red Ample, persistent bouquet, with notes which range from small red fruits to spices Soft velvety wine, maintains its easy drinking characteristic typical of Valpolicella wine but intense fruity flavours and a delicate note of chocolate",https://www.winelistasia.com/store/p565/I_Saltari_-_Valpolicella_Superiore_Ripasso__DOC_2018.html
"Tascante - Etna Rosso ""Contrada Sciaranuova"" DOC 2019",145,"Red, Dry, Still",100% Nerello Mascalese,,,,"Sicily (Etna), Italy",,,,13.50%,"Rich pastas, meat dishes , medium aged cheeses","Bright, delicate ruby red Intense oral scents and typically of wisteria, red berries Good persistence, soft tannins that leave a pleasant after taste Awards: 2016 Wine Spectator: 96Points2016 Wine Enthusiast: 91 Points2017 Wine Enthusiast: 94 Points",https://www.winelistasia.com/store/p567/Tascante_-_Etna_Rosso_%22Contrada_Sciaranuova%22_DOC_2019.html
"Mascarello Giuseppe e Figlio - Barolo ""Monprivato"" DOCG 2018",471,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.00%,"Red meats in general, game, mature cheeses","Clear. Light red Laced with notes of red cherry, raspberry, mint, white pepper and orange peel Sweet and bitter cherry fruits and inner floral tones which lasted into the finish, joined by lingering notes of cedar Awards: 2011 - Wine Spectator: 95 points2011 - Wine Enthusiast Magazine: 95 points2011 - Luca Gardini: 98 points",https://www.winelistasia.com/store/p568/Mascarello_Giuseppe_e_Figlio_-_Barolo_%22Monprivato%22_DOCG_2018.html
Cantine Volpi - Barbera Piemonte DOC 2022,42,"Red, Dry, Still",100% Barbera,,,,"Piedmont, Italy",,,,13.00%,Red and white meats,"Ruby red coloured Barbera with intense violet reflections Intense, fruity and viney fragrance with aromas of small red fruits Taste is soft, fine, fruity, fresh, very drinkable",https://www.winelistasia.com/store/p569/Cantine_Volpi_-_Barbera_Piemonte__DOC_2022.html
Di Majo Norante - Tintilia del Molise DOC 2021,71,"Red, Dry, Still",100% Tintilia,,,,"Molise, Italy",,,,15.00%,"For its structure, it accompanies rich dishes, especially white and red meats, game and aged cheeses","Deep ruby red color with purple hues Soft and velvety, with a perfect blend of flavors of plum and undergrowth Full-bodied, with evident, yet soft, tannins, hints of leather and liquorice",https://www.winelistasia.com/store/p575/Di_Majo_Norante_-_Tintilia_del_Molise__DOC_2021.html
"Di Majo Norante - Aglianico Riserva ""Sassius"" DOC 2017",139,"Red, Dry, Still",100% Tintilia,,,,"Molise, Italy",,,,15.00%,"For its structure, it accompanies rich dishes, especially white and red meats, game and aged cheeses","Deep ruby red color with purple hues Soft and velvety, with a perfect blend of flavors of plum and undergrowth Full-bodied, with evident, yet soft, tannins, hints of leather and liquorice",https://www.winelistasia.com/store/p576/Di_Majo_Norante_-_Aglianico_Riserva_%22Sassius%22_DOC_2017.html
Grosjean Freres - Fumin DOC 2023,89,"Red, Dry, Still",100% Fumin,,,,"Valle d'Aosta, Italy",,,,13.00%,"Great pairing with red meat, game or a well aged cheese","Intense ruby red going on violet Fruits of the forest, blackberry and blueberry Ample, soft palate, rich tannins that confer elegance and freshness. Great ageing potential in the bottle",https://www.winelistasia.com/store/p577/Grosjean_Freres_-_Fumin_DOC_2023.html
